"","Method","Estimate","Std Error","95% CI "," ","P-value","GI","N_snps"
"64","Robust IVW",-0.11495212385391,0.0318502915733008,-0.177377548234679,-0.0525266994731407,0.000307215181299219,"PheWAS T-test Filtered - Sensitivity",59
"65","Robust IVW",-0.0990034368840495,0.0905512626965647,-0.276480650523942,0.0784737767558426,0.274243968211071,"PheWAS PVE Filtered",47
"66","Robust IVW",-0.0925669226914262,0.0923798812421168,-0.273628162822062,0.08849431743921,0.316331664050749,"PheWAS PVE Filtered - Sensitivity",46
"67","Robust IVW",-0.126241130382033,0.0516370647103574,-0.227447917481698,-0.0250343432823688,0.0144941557325826,"Core GI",31
"71","Penalized robust IVW",-0.123784297651458,0.0206433603043202,-0.164244540367809,-0.0833240549351063,2.01832881211309e-09,"all",75
"72","Penalized robust IVW",-0.123784297651458,0.0206433603043202,-0.164244540367809,-0.0833240549351063,2.01832881211309e-09,"Steiger Filtered",75
"73","Penalized robust IVW",-0.138649781377744,0.0209858155613445,-0.179781224064179,-0.0975183386913085,3.92628185982759e-11,"PheWAS T-test Filtered",59
"74","Penalized robust IVW",-0.138649781377744,0.0209858155613445,-0.179781224064179,-0.0975183386913085,3.92628185982759e-11,"PheWAS T-test Filtered - Sensitivity",59
"75","Penalized robust IVW",-0.132832047517787,0.113196705943437,-0.354693514335495,0.0890294192999219,0.240610535271081,"PheWAS PVE Filtered",47
"76","Penalized robust IVW",-0.122606192863201,0.140863170299618,-0.398692933398585,0.153480547672182,0.384086153734614,"PheWAS PVE Filtered - Sensitivity",46
"77","Penalized robust IVW",-0.138993315222732,0.0380455402619982,-0.213561203908617,-0.0644254265368472,0.000258850548985502,"Core GI",31
"8","MR-Egger",0.261670347246146,0.219339355116599,-0.168226889174629,0.691567583666922,0.232872057450966,"all",75
"81","MR-Egger",0.261670347246146,0.219339355116599,-0.168226889174629,0.691567583666922,0.232872057450966,"Steiger Filtered",75
"82","MR-Egger",0.0852416781949757,0.1387914758228,-0.186784615778874,0.357267972168826,0.539102436090597,"PheWAS T-test Filtered",59
"83","MR-Egger",0.0852416781949757,0.1387914758228,-0.186784615778874,0.357267972168826,0.539102436090597,"PheWAS T-test Filtered - Sensitivity",59
